Nombre;Fecha;Valor1Euro;VariacionPorc;VariacionMes;VariacionAño;ValorenEuros
Dirhams marroquies;24/03/2022;10,6608;-0,25%;0,56%;-0,02%;0,093801591
Rupias de Mauricio;24/03/2022;48,7522;0,44%;-0,59%;1,66%;0,020511895
Ouguiyas;24/03/2022;39,89;-0,13%;-1,70%;-6,07%;0,02506894
Pesos mexicanos;24/03/2022;22,177;-0,09%;-3,31%;-9,57%;0,045091762
Leus moldavos;25/03/2022;20,2091;-0,07%;0,28%;-4,51%;0,049482659
Dólares namibios;25/03/2022;16,0241;-1,18%;-6,51%;-9,21%;0,062406001
Rupias nepalies;18/01/2019;129,6179;-0,22%;-0,48%;3,64%;0,007714984
Nairas;24/03/2022;456,9093;-0,04%;-1,63%;1,71%;0,002188618
Coronas noruegas;24/03/2022;9,4923;-1,56%;-5,90%;-6,54%;0,105348546
Dólares neozelandeses;24/03/2022;1,5812;-0,06%;-5,27%;-6,79%;0,632431065
Riales omaníes;24/03/2022;0,4221;-0,06%;-1,66%;-7,16%;2,369106847
Rupias paquistanies;24/03/2022;199,3779;-0,15%;0,54%;8,50%;0,005015601
Guaranies;24/03/2022;7.666,57;0,19%;-2,08%;-0,11%;0,000130436
Soles;23/03/2022;4,137;-0,43%;-1,68%;-6,31%;0,241721054
Zlotys polacos;24/03/2022;4,7421;0,78%;1,86%;2,47%;0,210877038
Coronas checas;24/03/2022;24,72;0,47%;-1,47%;-5,67%;0,040453074
Pesos dominicanos;24/03/2022;60,254;-0,02%;-2,25%;-10,34%;0,016596409
Leis rumanos;24/03/2022;4,949;0,06%;0,00%;1,24%;0,202061022
Rublos rusos;24/03/2022;105,4391;-6,96%;10,16%;16,89%;0,009484148
Dinares;25/03/2022;117,7512;0,01%;0,11%;0,14%;0,008492482
Dólares Singapur;24/03/2022;1,4912;-0,05%;-1,41%;-6,31%;0,670600858
Rupias de Sri Lanka;14/01/2019;208,4879;5,60%;5,60%;11,70%;0,004796441
Rands;24/03/2022;16,1478;-0,63%;-5,92%;-7,86%;0,061927941
Coronas suecas;24/03/2022;10,3555;-0,43%;-3,52%;1,89%;0,096567042
Francos suizos;24/03/2022;1,0225;-0,43%;-0,92%;-7,62%;0,97799511
Bahts;24/03/2022;36,837;-0,35%;0,88%;0,49%;0,027146619
Nuevos dólares taiwaneses;30/10/2020;33,424;-0,16%;-1,48%;-1,16%;0,029918621
Dólares trinitense;23/03/2022;7,4351;-0,31%;-3,17%;-7,70%;0,134497182
Dinares tunecinos;18/03/2022;3,2717;0,35%;-0,14%;-0,55%;0,305651496
Liras turcas;24/03/2022;16,2917;-0,12%;1,49%;73,30%;0,061380949
Grivnas;25/03/2022;32,1233;-0,05%;-3,16%;-2,48%;0,031130052
Chelines ugandeses;24/03/2022;3.967,53;-0,59%;-0,80%;-0,17%;0,000252046
Pesos uruguayos;23/03/2022;46,2971;-0,75%;-3,15%;-11,51%;0,021599625
Bolívares;18/03/2022;4,7316;-0,49%;-4,89%;-100,00%;0,211345
Kwachas zambianos;24/03/2022;19,5716;0,27%;-0,86%;-24,95%;0,051094443
